Step,Value
0,0.7810999751091003
1,0.8047999739646912
2,0.8141999840736389
3,0.8230000138282776
4,0.8241000175476074
5,0.8277000188827515
6,0.8299999833106995
7,0.8294000029563904
8,0.8343999981880188
9,0.8359000086784363
10,0.835099995136261
11,0.8377000093460083
12,0.8389999866485596
13,0.8399999737739563
14,0.8431000113487244
15,0.843999981880188
16,0.8425999879837036
17,0.8439000248908997
18,0.842199981212616
19,0.8456000089645386
20,0.8432999849319458
21,0.8422999978065491
22,0.8453999757766724
23,0.8458999991416931
24,0.8456000089645386
25,0.8478000164031982
26,0.8471999764442444
27,0.8474000096321106
28,0.8456000089645386
29,0.8476999998092651
30,0.849399983882904
31,0.8478999733924866
32,0.8464000225067139
33,0.8461999893188477
34,0.8500000238418579
35,0.8489999771118164
36,0.8496999740600586
37,0.8496999740600586
38,0.8478000164031982
39,0.8492000102996826
40,0.8489999771118164
41,0.850600004196167
42,0.8513000011444092
43,0.8508999943733215
44,0.8503000140190125
45,0.8492000102996826
46,0.8511999845504761
47,0.8510000109672546
48,0.8518000245094299
49,0.8485000133514404
50,0.8507999777793884
51,0.8515999913215637
52,0.8476999998092651
53,0.8514000177383423
54,0.8514999747276306
55,0.8500999808311462
56,0.8521999716758728
57,0.8536999821662903
58,0.8521999716758728
59,0.8514000177383423
60,0.8507000207901001
61,0.8529000282287598
62,0.8514999747276306
63,0.8492000102996826
64,0.8532999753952026
65,0.8525000214576721
66,0.8535000085830688
67,0.8532000184059143
68,0.8514999747276306
69,0.8531000018119812
70,0.8543999791145325
71,0.8519999980926514
72,0.8542000055313109
73,0.8532000184059143
74,0.8536999821662903
75,0.852400004863739
76,0.8529999852180481
77,0.8525000214576721
78,0.8529000282287598
79,0.8521999716758728
80,0.8539000153541565
81,0.8514000177383423
82,0.852400004863739
83,0.8475000262260437
84,0.849399983882904
85,0.8529000282287598
86,0.8539999723434448
87,0.850600004196167
88,0.8537999987602234
89,0.8528000116348267
90,0.8531000018119812
91,0.8532000184059143
92,0.8554000258445741
93,0.8525999784469604
94,0.8500999808311462
95,0.8532999753952026
96,0.8522999882698059
97,0.8547999858856201
98,0.8519999980926514
99,0.8543999791145325
