x y
698.5032367906866 1302.0058990373986
1102.2527394611723 514.6601538549087
1102.379845338469 504.65735618007704
1091.5909197066137 496.3245436893767
798.8235457980064 193.16170539303553
793.9807766663672 211.8623558121998
804.6245831383445 212.4886425347544
791.8353038189246 193.76486908148436
699.8347438072408 1288.9964681701042
702.7383759188951 1299.0470562992018
783.1330226810525 203.13815996551904
1086.249823005206 503.2398326407339
787.2504610479299 203.9092226065803
695.9760674234188 1301.2736967727442
1099.6574793989375 509.14288281207405
508.32278776923795 393.4208677832019
511.76320945077333 398.29819861053505
504.6968044622559 390.4253309746134
799.0174978185138 193.23887736619244
705.6620298058903 1294.3047424580257
1089.5709443362312 506.01776848832037
497.3035777565231 397.4218562352125
696.9558987976541 1294.3918042192108
501.5021558653756 388.8649680441669
704.3940316441993 1305.3692811698565
1107.2996404122334 501.3721448401287
491.0320549077892 396.9853566164033
1100.3456967703073 517.570468490974
800.9833348294042 201.85613467144537
703.0692688271115 1284.315796619258
489.75500878733055 409.30080599847685
497.79413743759454 401.35579639342603
704.2278027026408 1300.9241391145306
800.9577015007308 203.23142624243974
694.7884530516475 1292.8653437407224
1100.6604395838576 493.5477537196087
497.76220652779085 394.25540228046054
801.212233209465 190.07476173279832
498.09597282498544 401.8265625960451
1095.5977527314064 496.6383295135802
