id,dep_delayed_15min
0,0.03948625122532083
1,0.059085614068477996
2,0.04728242910379971
3,0.3156996052189416
4,0.30894346605866685
5,0.09432357020480527
6,0.062292503931571784
7,0.21054749875839543
8,0.11806621954951667
9,0.31609762252489537
10,0.30464603964972364
11,0.37212169444333315
12,0.07998570677241035
13,0.1437067605731998
14,0.07748722777958648
15,0.2905568257728183
16,0.08904650360950349
17,0.24111449681279637
18,0.48463231909616084
19,0.02487532831011552
20,0.15384116064348768
21,0.03537963734593707
22,0.3467527827937878
23,0.11638458046600082
24,0.24235204446062664
25,0.3479644773110051
26,0.02518677269386571
27,0.05029129177458898
28,0.3172404871245195
29,0.1370079190976206
30,0.15063022017055738
31,0.45728630435090206
32,0.023468955351646347
33,0.2270534386367037
34,0.5144869660367263
35,0.2794733673111582
36,0.22716371923065679
37,0.1736931392024395
38,0.07375881584942437
39,0.15044655399897786
40,0.21624980786028233
41,0.15079431407971408
42,0.15083776170512964
43,0.27485356932985583
44,0.09503656151668835
45,0.4586255024007386
46,0.003732699683556722
47,0.19120162743478655
48,0.6393128984454173
49,0.08669946487840077
50,0.47045666344930553
51,0.039806466834227346
52,0.16492735989980423
53,0.36959691824730057
54,0.1974426416704377
55,0.09333943915608889
56,0.2467266358885997
57,0.3057235457804545
58,0.0934987704215068
59,0.2703433436205857
60,0.194425405423907
61,0.09827044523308441
62,0.1476068371883008
63,0.21517712255387786
64,0.1423263534638097
65,0.17109504806106304
66,0.036623978528632466
67,0.16266661655377157
68,0.09848417993607475
69,0.2235986567414367
70,0.01897359448976822
71,0.2611811999524101
72,0.4251562259944048
73,0.2664300076243729
74,0.5626101281643298
75,0.31042553556934854
76,0.07438355921117489
77,0.133435226409691
78,0.0868522844312492
79,0.13557768563376324
80,0.15617885083497898
81,0.2540085011637465
82,0.09307843699218823
83,0.08584848531747982
84,0.12909629115729732
85,0.015631037084514812
86,0.11863458585963114
87,0.21590996765679377
88,0.18811961976337488
89,0.22008228072159577
90,0.24778437452300384
91,0.24660184265608281
92,0.19441239328011506
93,0.15294780428023505
94,0.14412219649209926
95,0.14556574626235508
96,0.288762777671548
97,0.06337831131514303
98,0.18002667666549046
99,0.3646937969072711
100,0.11929746160744052
101,0.19574980230111144
102,0.09721511792210975
103,0.2620565801943536
104,0.010749586091281575
105,0.08870985575454357
106,0.3538023025697998
107,0.08853241646622084
108,0.13536357216402287
109,0.22756939877949164
110,0.19703624172226455
111,0.20229791071707312
112,0.8839846182466793
113,0.029013713131751637
114,0.06944691513164258
115,0.10723099226307078
116,0.0991179284017205
117,0.6803667852419849
118,0.07667876635800147
119,0.1772692553587005
120,0.34141953125944985
121,0.3330590057784075
122,0.17032497657686824
123,0.18408209874636627
124,0.2546392072828058
125,0.03602938409540638
126,0.05603234817286888
127,0.03798039200979511
128,0.07434662315950873
129,0.39931099686102844
130,0.2547186701723202
131,0.2102923253522943
132,0.030855424138531824
133,0.18735511462333154
134,0.04731480617018657
135,0.16565848494750532
136,0.2827262312086547
137,0.13180976567358008
138,0.027506743526357014
139,0.05521931185499423
140,0.26479793178549976
141,0.28332470717435837
142,0.22589941863903779
143,0.2298254943812727
144,0.10954099546091961
145,0.17005279323231526
146,0.2597637003161125
147,0.2009670123836903
148,0.07485890938960657
149,0.350653940938461
150,0.44604845655420805
151,0.18816394974513886
152,0.13876919527373843
153,0.12225866848092729
154,0.10922055077617433
155,0.145692766243877
156,0.23406221012040518
157,0.17471317674494005
158,0.40903109184683606
159,0.0328691358373375
160,0.0774940553777418
161,0.4915426173982286
162,0.5854513319268968
163,0.14760217112610424
164,0.20776169693658064
165,0.09091727489479855
166,0.17336092417648236
167,0.01750675767472263
168,0.10592826006423386
169,0.29082623383980577
170,0.24566164597874285
171,0.11235809664737281
172,0.1222205295475282
173,0.2569776825825317
174,0.3706564953222463
175,0.23114911771837274
176,0.14128063818875475
177,0.007831453311755499
178,0.2724358107898025
179,0.17979333721275245
180,0.030897786617016986
181,0.07009390885932838
182,0.1157445266733171
183,0.6520151591758172
184,0.23782507573269404
185,0.30346467155842777
186,0.18941890011321214
187,0.32211643802395334
188,0.2654544058287604
189,0.2553877957747152
190,0.34833898842744565
191,0.3600766090868216
192,0.2237213994669087
193,0.17642127546854597
194,0.28196201761405026
195,0.15902456621231556
196,0.11350109793192897
197,0.15428556829083898
198,0.2931350700465295
199,0.3221967119197014
200,0.23268393176214824
